title,stars
Dexter,"['Michael C. Hall, ', 'Jennifer Carpenter, ', 'David Zayas, ', 'James Remar']"
New Girl,"['Zooey Deschanel, ', 'Jake Johnson, ', 'Max Greenfield, ', 'Hannah Simone']"
The Expanse,"['Steven Strait, ', 'Dominique Tipper, ', 'Wes Chatham, ', 'Shohreh Aghdashloo']"
Purple Hearts,"['Elizabeth Allen Rosenbaum', '| ', '    Stars:', 'Sofia Carson, ', 'Nicholas Galitzine, ', 'Chosen Jacobs, ', 'John Harlan Kim']"
The Gentlemen,"['Guy Ritchie', '| ', '    Stars:', 'Matthew McConaughey, ', 'Charlie Hunnam, ', 'Michelle Dockery, ', 'Jeremy Strong']"
The Good Doctor,"['Freddie Highmore, ', 'Hill Harper, ', 'Richard Schiff, ', 'Christina Chang']"
Downton Abbey,"['Hugh Bonneville, ', 'Phyllis Logan, ', 'Elizabeth McGovern, ', 'Brendan Coyle']"
Extraordinary Attorney Woo,"['Park Eun-bin, ', 'Kang Tae-oh, ', 'Kang Ki-young, ', 'Jeon Bae-soo']"
Smallville,"['Tom Welling, ', 'Michael Rosenbaum, ', 'Allison Mack, ', 'Kristin Kreuk']"
Star Trek: The Next Generation,"['Patrick Stewart, ', 'Brent Spiner, ', 'Jonathan Frakes, ', 'LeVar Burton']"
BoJack Horseman,"['Will Arnett, ', 'Amy Sedaris, ', 'Alison Brie, ', 'Aaron Paul']"
"Love, Death & Robots","['Fred Tatasciore, ', 'Scott Whyte, ', 'Nolan North, ', 'Noshir Dalal']"
Money Heist,"['Úrsula Corberó, ', 'Álvaro Morte, ', 'Itziar Ituño, ', 'Pedro Alonso']"
Orange Is the New Black,"['Taylor Schilling, ', 'Danielle Brooks, ', 'Taryn Manning, ', 'Emma Myles']"
Jurassic Park,"['Steven Spielberg', '| ', '    Stars:', 'Sam Neill, ', 'Laura Dern, ', 'Jeff Goldblum, ', 'Richard Attenborough']"
Prison Break,"['Dominic Purcell, ', 'Wentworth Miller, ', 'Amaury Nolasco, ', 'Robert Knepper']"
Billions,"['Paul Giamatti, ', 'Damian Lewis, ', 'Maggie Siff, ', 'David Costabile']"
Once Upon a Time,"['Ginnifer Goodwin, ', 'Jennifer Morrison, ', 'Lana Parrilla, ', 'Robert Carlyle']"
Titans,"['Brenton Thwaites, ', 'Anna Diop, ', 'Ryan Potter, ', 'Teagan Croft']"
The 100,"['Eliza Taylor, ', 'Bob Morley, ', 'Marie Avgeropoulos, ', 'Isaiah Washington']"
Jaws,"['Steven Spielberg', '| ', '    Stars:', 'Roy Scheider, ', 'Robert Shaw, ', 'Richard Dreyfuss, ', 'Lorraine Gary']"
The Catholic School,"['Stefano Mordini', '| ', '    Stars:', 'Benedetta Porcaroli, ', 'Giulio Pranno, ', 'Emanuele Maria Di Stefano, ', 'Giulio Fochetti']"
South Park,"['Trey Parker, ', 'Matt Stone, ', 'Isaac Hayes, ', 'Mona Marshall']"
Spartacus,"['Andy Whitfield, ', 'Lucy Lawless, ', 'Manu Bennett, ', 'Daniel Feuerriegel']"
Clueless,"['Amy Heckerling', '| ', '    Stars:', 'Alicia Silverstone, ', 'Stacey Dash, ', 'Brittany Murphy, ', 'Paul Rudd']"
Chesapeake Shores,"['Meghan Ory, ', 'Barbara Niven, ', 'Laci J Mailey, ', 'Emilie Ullerup']"
Demon Slayer: Kimetsu no Yaiba,"['Natsuki Hanae, ', 'Zach Aguilar, ', 'Abby Trott, ', 'Yoshitsugu Matsuoka']"
The Queen's Gambit,"['Anya Taylor-Joy, ', 'Chloe Pirrie, ', 'Bill Camp, ', 'Marcin Dorocinski']"
Pretty Little Liars,"['Troian Bellisario, ', 'Ashley Benson, ', 'Lucy Hale, ', 'Shay Mitchell']"
Mindhunter,"['Jonathan Groff, ', 'Holt McCallany, ', 'Anna Torv, ', 'Hannah Gross']"
"Murder, She Wrote","['Angela Lansbury, ', 'William Windom, ', 'Ron Masak, ', 'Louis Herthum']"
From,"['Scott McCord, ', 'Harold Perrineau, ', 'Catalina Sandino Moreno, ', 'Eion Bailey']"
Spiderhead,"['Joseph Kosinski', '| ', '    Stars:', 'Chris Hemsworth, ', 'Miles Teller, ', 'Jurnee Smollett, ', 'Mark Paguio']"
CSI: Crime Scene Investigation,"['Laurence Fishburne, ', 'Marg Helgenberger, ', 'George Eads, ', 'Eric Szmanda']"
Evil,"['Katja Herbers, ', 'Mike Colter, ', 'Aasif Mandvi, ', 'Michael Emerson']"
The Lincoln Lawyer,"['Manuel Garcia-Rulfo, ', 'Neve Campbell, ', 'Becki Newton, ', 'Angus Sampson']"
Arrested Development,"['Jason Bateman, ', 'Michael Cera, ', 'Portia de Rossi, ', 'Will Arnett']"
Heartland,"['Amber Marshall, ', 'Shaun Johnston, ', 'Michelle Morgan, ', 'Chris Potter']"
Mo,"['Mohammed Amer, ', 'Teresa Ruiz, ', 'Omar Elba, ', 'Farah Bsieso']"
Inventing Anna,"['Anna Chlumsky, ', 'Julia Garner, ', 'Arian Moayed, ', 'Katie Lowes']"
It,"['Andy Muschietti', '| ', '    Stars:', 'Bill Skarsgård, ', 'Jaeden Martell, ', 'Finn Wolfhard, ', 'Sophia Lillis']"
Narcos,"['Pedro Pascal, ', 'Wagner Moura, ', 'Boyd Holbrook, ', 'Alberto Ammann']"
The Sinner,"['Bill Pullman, ', 'Jessica Hecht, ', 'Dohn Norwood, ', 'Adam LeFevre']"
Homeland,"['Claire Danes, ', 'Mandy Patinkin, ', 'Damian Lewis, ', 'Rupert Friend']"
The Haunting of Hill House,"['Michiel Huisman, ', 'Carla Gugino, ', 'Henry Thomas, ', 'Elizabeth Reaser']"
Doc Martin,"['Martin Clunes, ', 'Caroline Catz, ', 'Ian McNeice, ', 'Joe Absolom']"
Hawaii Five-0,"[""Alex O'Loughlin, "", 'Scott Caan, ', 'Taylor Wily, ', 'Daniel Dae Kim']"
Star Trek: The Original Series,"['William Shatner, ', 'Leonard Nimoy, ', 'DeForest Kelley, ', 'Nichelle Nichols']"
The Next 365 Days,"['Barbara Bialowas, ', 'Tomasz Mandes', '| ', '    Stars:', 'Anna-Maria Sieklucka, ', 'Michele Morrone, ', 'Simone Susinna, ', 'Magdalena Lamparska']"
Don't Look Up,"['Adam McKay', '| ', '    Stars:', 'Leonardo DiCaprio, ', 'Jennifer Lawrence, ', 'Meryl Streep, ', 'Cate Blanchett']"
Murdoch Mysteries,"['Yannick Bisson, ', 'Helene Joy, ', 'Thomas Craig, ', 'Jonny Harris']"
The Good Wife,"['Julianna Margulies, ', 'Chris Noth, ', 'Josh Charles, ', 'Matt Czuchry']"
Shadow and Bone,"['Jessie Mei Li, ', 'Ben Barnes, ', 'Archie Renaux, ', 'Freddy Carter']"
Sex/Life,"['Sarah Shahi, ', 'Mike Vogel, ', 'Adam Demos, ', 'Margaret Odette']"
Gladiator,"['Ridley Scott', '| ', '    Stars:', 'Russell Crowe, ', 'Joaquin Phoenix, ', 'Connie Nielsen, ', 'Oliver Reed']"
The Punisher,"['Jon Bernthal, ', 'Amber Rose Revah, ', 'Ben Barnes, ', 'Jason R. Moore']"
Midnight Mass,"['Kate Siegel, ', 'Zach Gilford, ', 'Kristin Lehman, ', 'Samantha Sloyan']"
"Roswell, New Mexico","['Jeanine Mason, ', 'Nathan Parsons, ', 'Michael Vlamis, ', 'Lily Cowles']"
Taxi Driver,"['Martin Scorsese', '| ', '    Stars:', 'Robert De Niro, ', 'Jodie Foster, ', 'Cybill Shepherd, ', 'Albert Brooks']"
Teen Wolf,"['Tyler Posey, ', 'Holland Roden, ', ""Dylan O'Brien, "", 'Linden Ashby']"
Vikings: Valhalla,"['Sam Corlett, ', 'Leo Suter, ', 'Jóhannes Haukur Jóhannesson, ', 'Lujza Richter']"
New Amsterdam,"['Ryan Eggold, ', 'Janet Montgomery, ', 'Jocko Sims, ', 'Tyler Labine']"
Léon: The Professional,"['Luc Besson', '| ', '    Stars:', 'Jean Reno, ', 'Gary Oldman, ', 'Natalie Portman, ', 'Danny Aiello']"
Arrow,"['Stephen Amell, ', 'Katie Cassidy, ', 'David Ramsey, ', 'Susanna Thompson']"
The Good Nurse,"['Tobias Lindholm', '| ', '    Stars:', 'Jessica Chastain, ', 'Eddie Redmayne, ', 'Kim Dickens, ', 'Noah Emmerich']"
The Good Place,"['Kristen Bell, ', 'William Jackson Harper, ', 'Jameela Jamil, ', ""D'Arcy Carden""]"
Agents of S.H.I.E.L.D.,"['Clark Gregg, ', 'Ming-Na Wen, ', 'Brett Dalton, ', 'Iain De Caestecker']"
Mother!,"['Darren Aronofsky', '| ', '    Stars:', 'Jennifer Lawrence, ', 'Javier Bardem, ', 'Ed Harris, ', 'Michelle Pfeiffer']"
Hustle,"['Jeremiah Zagar', '| ', '    Stars:', 'Adam Sandler, ', 'Queen Latifah, ', 'Juancho Hernangomez, ', 'Ben Foster']"
Terim,"['Fatih Terim, ', 'Bülent Timurlenk, ', 'Okan Buruk, ', 'Faruk Süren']"
365 Days: This Day,"['Barbara Bialowas, ', 'Tomasz Mandes', '| ', '    Stars:', 'Anna-Maria Sieklucka, ', 'Michele Morrone, ', 'Simone Susinna, ', 'Magdalena Lamparska']"
Cheers,"['Ted Danson, ', 'Rhea Perlman, ', 'John Ratzenberger, ', 'George Wendt']"
Line of Duty,"['Martin Compston, ', 'Vicky McClure, ', 'Adrian Dunbar, ', 'Craig Parkinson']"
Pieces of Her,"['Toni Collette, ', 'Bella Heathcote, ', 'Jessica Barden, ', 'Joe Dempsie']"
The Departed,"['Martin Scorsese', '| ', '    Stars:', 'Leonardo DiCaprio, ', 'Matt Damon, ', 'Jack Nicholson, ', 'Mark Wahlberg']"
Star Wars: The Clone Wars,"['Tom Kane, ', 'Dee Bradley Baker, ', 'Matt Lanter, ', 'James Arnold Taylor']"
Star Trek: Deep Space Nine,"['Avery Brooks, ', 'Rene Auberjonois, ', 'Cirroc Lofton, ', 'Alexander Siddig']"
Spider-Man,"['Sam Raimi', '| ', '    Stars:', 'Tobey Maguire, ', 'Kirsten Dunst, ', 'Willem Dafoe, ', 'James Franco']"
Santo,"['Raúl Arévalo, ', 'Bruno Gagliasso, ', 'Victoria Guerra, ', 'Greta Fernández']"
Delhi Crime,"['Shefali Shah, ', 'Rajesh Tailang, ', 'Rasika Dugal, ', 'Anurag Arora']"
JoJo's Bizarre Adventure,"['David Vincent, ', 'Matthew Mercer, ', 'Daisuke Ono, ', 'Unshô Ishizuka']"
House of Cards,"['Kevin Spacey, ', 'Michel Gill, ', 'Robin Wright, ', 'Kate Mara']"
American Crime Story,"['Sarah Paulson, ', 'Annaleigh Ashford, ', 'Sterling K. Brown, ', 'Kenneth Choi']"
Beauty and the Beast,"['Bill Condon', '| ', '    Stars:', 'Emma Watson, ', 'Dan Stevens, ', 'Luke Evans, ', 'Josh Gad']"
Dynasty,"['Elizabeth Gillies, ', 'Rafael de la Fuente, ', 'Robert Christopher Riley, ', 'Sam Adegoke']"
Glee,"['Lea Michele, ', 'Jane Lynch, ', 'Matthew Morrison, ', 'Cory Monteith']"
Brooklyn,"['John Crowley', '| ', '    Stars:', 'Saoirse Ronan, ', 'Emory Cohen, ', 'Domhnall Gleeson, ', 'Jim Broadbent']"
The Americans,"['Keri Russell, ', 'Matthew Rhys, ', 'Keidrich Sellati, ', 'Holly Taylor']"
Gotham,"['Ben McKenzie, ', 'Jada Pinkett Smith, ', 'Donal Logue, ', 'Camren Bicondova']"
Gossip Girl,"['Blake Lively, ', 'Leighton Meester, ', 'Penn Badgley, ', 'Ed Westwick']"
Gone Girl,"['David Fincher', '| ', '    Stars:', 'Ben Affleck, ', 'Rosamund Pike, ', 'Neil Patrick Harris, ', 'Tyler Perry']"
The Tudors,"['Jonathan Rhys Meyers, ', 'Henry Cavill, ', 'Anthony Brophy, ', 'James Frain']"
Twin Peaks,"['Kyle MacLachlan, ', 'Michael Ontkean, ', 'Mädchen Amick, ', 'Dana Ashbrook']"
The Poison Rose,"['Francesco Cinquemani, ', 'George Gallo', '| ', '    Stars:', 'John Travolta, ', 'Morgan Freeman, ', 'Brendan Fraser, ', 'Famke Janssen']"
Avatar: The Last Airbender,"['Dee Bradley Baker, ', 'Zach Tyler Eisen, ', 'Mae Whitman, ', 'Jack De Sena']"
Hannibal,"['Hugh Dancy, ', 'Mads Mikkelsen, ', 'Caroline Dhavernas, ', 'Laurence Fishburne']"
Star Trek: Voyager,"['Kate Mulgrew, ', 'Robert Beltran, ', 'Roxann Dawson, ', 'Robert Duncan McNeill']"
NCIS: Los Angeles,"[""Chris O'Donnell, "", 'LL Cool J, ', 'Daniela Ruah, ', 'Eric Christian Olsen']"
Persuasion,"['Carrie Cracknell', '| ', '    Stars:', 'Richard E. Grant, ', 'Henry Golding, ', 'Ben Bailey Smith, ', 'Yolanda Kettle']"
Good Girls,"['Christina Hendricks, ', 'Retta, ', 'Mae Whitman, ', 'Reno Wilson']"
Dated and Related,"['Joey Roppo, ', 'Jason Cohen, ', 'Christopher Hahn, ', 'Corrina Roppo']"
Jogi,"['Ali Abbas Zafar', '| ', '    Stars:', 'Diljit Dosanjh, ', 'Kumud Mishra, ', 'Mohd. Zeeshan Ayyub, ', 'Hiten Tejwani']"
How to Get Away with Murder,"['Viola Davis, ', 'Billy Brown, ', 'Jack Falahee, ', 'Aja Naomi King']"
Uncoupled,"['Neil Patrick Harris, ', 'Tisha Campbell, ', 'Brooks Ashmanskas, ', 'Emerson Brooks']"
Longmire,"['Robert Taylor, ', 'Katee Sackhoff, ', 'Lou Diamond Phillips, ', 'Cassidy Freeman']"
The Anthrax Attacks,"['Dan Krauss', '| ', '    Stars:', 'Clark Gregg, ', 'Regan Burns, ', 'Brigitte Kali Canales, ', 'Tongayi Chirisa']"
White Collar,"['Matt Bomer, ', 'Tim DeKay, ', 'Willie Garson, ', 'Tiffani Thiessen']"
White Noise,"['Noah Baumbach', '| ', '    Stars:', 'Adam Driver, ', 'Greta Gerwig, ', 'Don Cheadle, ', 'Raffey Cassidy']"
After Life,"['Ricky Gervais, ', 'Tom Basden, ', 'Tony Way, ', 'Diane Morgan']"
Outer Banks,"['Chase Stokes, ', 'Madelyn Cline, ', 'Madison Bailey, ', 'Rudy Pankow']"
Luckiest Girl Alive,"['Mike Barker', '| ', '    Stars:', 'Chiara Aurelia, ', 'Mila Kunis, ', 'Connie Britton, ', 'Jennifer Beals']"
Derry Girls,"['Saoirse-Monica Jackson, ', 'Louisa Harland, ', ""Tara Lynne O'Neill, "", 'Kathy Kiera Clarke']"
El Camino: A Breaking Bad Movie,"['Vince Gilligan', '| ', '    Stars:', 'Aaron Paul, ', 'Jonathan Banks, ', 'Matt Jones, ', 'Charles Baker']"
Anatomy of a Scandal,"['Sienna Miller, ', 'Rupert Friend, ', 'Michelle Dockery, ', 'Sebastian Selwood']"
